Actual,Predicted,Residuals
4,3,1
1,0,1
5,0,5
3,1,2
16,0,16
0,1,-1
1,1,0
10,3,7
4,1,3
2,2,0
1,0,1
18,4,14
0,2,-2
4,0,4
2,0,2
17,1,16
2,3,-1
0,1,-1
0,0,0
1,0,1
4,3,1
12,4,8
11,0,11
3,13,-10
0,0,0
1,1,0
6,0,6
0,0,0
7,7,0
0,0,0
6,0,6
2,0,2
0,0,0
0,0,0
5,0,5
0,0,0
2,0,2
8,1,7
9,2,7
8,4,4
6,2,4
6,6,0
1,0,1
50,1,49
0,0,0
1,2,-1
1,1,0
1,2,-1
5,1,4
10,0,10
2,3,-1
0,0,0
1,1,0
14,8,6
7,4,3
3,1,2
1,2,-1
15,5,10
11,7,4
2,2,0
0,0,0
87,7,80
1,1,0
0,1,-1
3,7,-4
2,1,1
25,0,25
4,1,3
27,50,-23
1,0,1
16,10,6
8,15,-7
0,0,0
6,4,2
3,0,3
12,1,11
9,4,5
24,2,22
5,1,4
0,0,0
2,0,2
2,0,2
12,0,12
4,0,4
7,0,7
1,0,1
0,0,0
13,1,12
6,0,6
5,0,5
7,0,7
0,0,0
7,1,6
0,1,-1
0,1,-1
0,2,-2
4,1,3
3,0,3
8,0,8
15,1,14
8,1,7
2,0,2
2,0,2
3,7,-4
0,0,0
28,2,26
2,81,-79
20,8,12
23,0,23
8,0,8
6,1,5
6,7,-1
1,0,1
0,1,-1
0,0,0
1,0,1
6,9,-3
18,4,14
8,9,-1
10,2,8
1,1,0
0,0,0
0,0,0
4,0,4
43,10,33
3,0,3
9,1,8
3,38,-35
3,0,3
1,3,-2
8,0,8
15,2,13
1,2,-1
2,0,2
1,0,1
0,0,0
12,1,11
3,0,3
3,6,-3
4,2,2
20,5,15
4,0,4
1,2,-1
5,6,-1
0,1,-1
1,0,1
26,10,16
6,0,6
5,2,3
0,0,0
3,0,3
1,0,1
0,2,-2
2,0,2
16,0,16
0,0,0
0,1,-1
7,1,6
22,29,-7
16,0,16
14,0,14
3,1,2
1,2,-1
1,0,1
0,0,0
1,0,1
4,0,4
0,0,0
19,1,18
0,0,0
3,0,3
4,4,0
8,0,8
4,8,-4
17,0,17
6,3,3
7,0,7
2,3,-1
1,4,-3
27,45,-18
2,0,2
1,0,1
3,0,3
7,0,7
1,1,0
6,0,6
7,5,2
0,4,-4
4,11,-7
7,2,5
5,0,5
3,1,2
4,1,3
1,0,1
13,1,12
2,0,2
3,0,3
4,0,4
3,9,-6
1,0,1
3,0,3
0,0,0
0,0,0
6,0,6
3,3,0
0,2,-2
1,0,1
3,3,0
1,0,1
0,0,0
4,0,4
3,9,-6
0,0,0
4,0,4
15,8,7
2,1,1
10,0,10
5,0,5
17,2,15
3,1,2
13,9,4
4,0,4
8,1,7
0,1,-1
1,0,1
1,0,1
21,1,20
5,2,3
6,2,4
0,0,0
2,0,2
4,13,-9
51,33,18
2,0,2
1,1,0
67,67,0
15,0,15
2,9,-7
7,2,5
0,0,0
0,0,0
16,5,11
22,1,21
0,0,0
6,1,5
9,3,6
6,2,4
2,0,2
4,0,4
6,1,5
19,10,9
8,0,8
8,0,8
2,0,2
1,2,-1
25,0,25
1,0,1
6,2,4
7,4,3
20,0,20
0,0,0
1,1,0
0,1,-1
0,0,0
5,1,4
7,4,3
8,2,6
6,4,2
6,8,-2
8,2,6
3,0,3
0,0,0
1,0,1
9,1,8
17,20,-3
7,1,6
5,6,-1
2,0,2
0,2,-2
4,0,4
1,1,0
0,6,-6
1,1,0
6,0,6
51,13,38
15,0,15
1,0,1
11,1,10
22,1,21
14,0,14
30,71,-41
0,0,0
6,1,5
8,0,8
2,2,0
3,0,3
11,0,11
2,0,2
0,0,0
0,0,0
9,1,8
7,3,4
2,0,2
6,0,6
0,0,0
1,1,0
10,0,10
5,1,4
3,0,3
0,0,0
1,0,1
0,1,-1
1,1,0
0,0,0
27,33,-6
2,6,-4
15,0,15
3,1,2
0,0,0
11,0,11
4,4,0
34,0,34
0,0,0
10,0,10
3,8,-5
85,7,78
3,1,2
3,0,3
30,4,26
7,0,7
6,2,4
3,2,1
2,0,2
5,0,5
1,3,-2
9,2,7
0,1,-1
10,0,10
2,0,2
24,1,23
6,2,4
8,0,8
2,2,0
21,1,20
8,1,7
11,5,6
0,0,0
2,5,-3
3,2,1
7,1,6
0,1,-1
30,25,5
0,1,-1
2,0,2
3,0,3
31,0,31
0,0,0
81,81,0
2,0,2
6,2,4
5,4,1
3,0,3
32,1,31
2,1,1
8,5,3
1,0,1
0,0,0
9,3,6
23,4,19
10,1,9
0,0,0
2,0,2
3,0,3
0,0,0
8,2,6
1,0,1
0,0,0
13,0,13
6,0,6
0,0,0
5,7,-2
2,0,2
3,0,3
2,2,0
12,0,12
1,0,1
0,1,-1
0,1,-1
2,1,1
3,1,2
3,13,-10
0,0,0
31,2,29
4,0,4
9,0,9
5,2,3
19,19,0
7,0,7
38,1,37
17,0,17
14,0,14
4,3,1
7,3,4
0,0,0
4,2,2
1,0,1
13,0,13
14,2,12
9,21,-12
7,0,7
1,0,1
2,0,2
3,4,-1
7,0,7
1,0,1
2,0,2
24,42,-18
15,1,14
21,2,19
24,1,23
8,3,5
1,0,1
9,2,7
2,0,2
3,0,3
2,0,2
2,0,2
7,0,7
8,1,7
0,0,0
10,1,9
3,2,1
9,0,9
7,0,7
0,3,-3
5,2,3
16,0,16
7,3,4
18,32,-14
13,0,13
1,0,1
17,2,15
4,3,1
10,0,10
17,4,13
1,1,0
8,13,-5
15,4,11
5,0,5
11,2,9
15,0,15
21,1,20
6,2,4
1,0,1
1,2,-1
0,10,-10
1,0,1
1,4,-3
3,7,-4
4,0,4
3,0,3
1,0,1
10,0,10
39,0,39
12,0,12
29,1,28
2,0,2
13,13,0
10,3,7
2,0,2
0,0,0
16,0,16
0,0,0
7,6,1
1,0,1
0,0,0
21,0,21
2,0,2
18,18,0
4,0,4
3,2,1
4,5,-1
7,3,4
11,0,11
3,1,2
2,5,-3
5,29,-24
1,6,-5
2,1,1
5,1,4
0,0,0
2,0,2
3,0,3
0,0,0
7,4,3
0,0,0
5,0,5
0,1,-1
49,6,43
1,0,1
13,1,12
4,0,4
2,0,2
7,2,5
8,0,8
0,37,-37
13,5,8
2,0,2
4,0,4
6,1,5
5,0,5
0,0,0
5,0,5
8,3,5
24,0,24
4,2,2
23,0,23
0,1,-1
5,3,2
11,2,9
0,0,0
10,0,10
0,0,0
4,0,4
0,0,0
5,2,3
7,2,5
1,1,0
14,5,9
2,0,2
0,0,0
2,0,2
3,0,3
14,2,12
1,0,1
10,2,8
14,8,6
0,4,-4
0,0,0
1,2,-1
0,1,-1
3,1,2
9,9,0
1,1,0
1,0,1
0,0,0
0,0,0
0,0,0
16,0,16
13,0,13
4,8,-4
0,0,0
1,0,1
0,0,0
0,0,0
10,2,8
67,58,9
6,0,6
1,1,0
7,3,4
1,2,-1
4,0,4
0,0,0
0,0,0
1,0,1
4,50,-46
3,0,3
9,6,3
1,0,1
0,3,-3
8,0,8
10,0,10
9,2,7
2,0,2
0,0,0
19,13,6
5,0,5
5,0,5
15,5,10
2,0,2
0,1,-1
2,0,2
1,1,0
0,0,0
3,5,-2
1,0,1
0,0,0
0,0,0
1,4,-3
0,0,0
2,0,2
3,0,3
12,4,8
0,1,-1
3,0,3
2,2,0
8,0,8
4,4,0
0,0,0
12,4,8
3,3,0
9,0,9
6,6,0
2,1,1
5,9,-4
7,0,7
0,0,0
8,0,8
6,0,6
3,4,-1
9,0,9
7,0,7
6,6,0
12,0,12
32,52,-20
1,0,1
5,14,-9
3,0,3
0,4,-4
6,2,4
0,0,0
25,0,25
2,0,2
0,0,0
1,6,-5
1,0,1
1,0,1
2,0,2
3,3,0
4,1,3
2,4,-2
13,8,5
16,2,14
0,0,0
10,0,10
11,1,10
7,4,3
2,5,-3
12,0,12
0,0,0
5,0,5
44,36,8
1,1,0
7,0,7
5,13,-8
0,6,-6
8,1,7
18,0,18
20,33,-13
0,0,0
0,0,0
2,4,-2
3,0,3
1,2,-1
5,4,1
37,20,17
3,2,1
6,0,6
22,11,11
4,1,3
3,5,-2
13,5,8
16,60,-44
3,0,3
0,0,0
8,84,-76
1,2,-1
8,5,3
7,4,3
5,0,5
0,1,-1
1,0,1
15,1,14
1,1,0
3,0,3
5,1,4
3,5,-2
3,0,3
5,7,-2
5,6,-1
2,4,-2
0,0,0
1,0,1
5,1,4
9,0,9
13,1,12
4,0,4
11,0,11
19,0,19
17,9,8
8,1,7
0,0,0
13,0,13
18,8,10
6,0,6
2,1,1
11,0,11
18,4,14
5,1,4
12,0,12
1,1,0
9,4,5
9,2,7
11,5,6
3,0,3
26,1,25
21,0,21
5,49,-44
0,0,0
1,0,1
6,5,1
1,0,1
6,1,5
7,8,-1
6,0,6
1,0,1
1,0,1
16,8,8
1,0,1
3,0,3
2,2,0
4,0,4
22,6,16
7,1,6
15,3,12
5,0,5
0,0,0
0,0,0
0,0,0
6,6,0
0,54,-54
4,9,-5
9,2,7
7,2,5
10,1,9
3,0,3
0,0,0
1,1,0
0,0,0
37,1,36
1,5,-4
33,2,31
0,0,0
4,2,2
16,0,16
11,0,11
7,29,-22
0,1,-1
1,0,1
5,0,5
2,2,0
5,0,5
0,1,-1
2,1,1
1,5,-4
5,1,4
5,0,5
11,0,11
17,10,7
21,5,16
12,5,7
5,5,0
8,0,8
2,0,2
0,0,0
19,0,19
12,1,11
2,1,1
2,0,2
0,0,0
15,4,11
11,8,3
7,1,6
7,2,5
0,0,0
2,0,2
4,6,-2
4,0,4
1,0,1
36,0,36
4,1,3
2,0,2
0,0,0
2,0,2
2,1,1
3,6,-3
10,2,8
10,1,9
6,5,1
2,0,2
9,8,1
12,5,7
0,1,-1
1,0,1
1,1,0
1,1,0
4,0,4
0,0,0
3,1,2
0,0,0
23,7,16
3,0,3
3,3,0
2,1,1
6,2,4
10,20,-10
6,1,5
10,0,10
26,1,25
0,4,-4
5,1,4
1,0,1
0,0,0
5,5,0
2,0,2
1,7,-6
1,0,1
5,10,-5
13,3,10
1,1,0
16,1,15
0,0,0
3,0,3
5,5,0
0,1,-1
13,1,12
12,2,10
0,0,0
7,1,6
10,2,8
2,0,2
0,0,0
0,0,0
2,0,2
9,1,8
3,2,1
12,12,0
13,6,7
13,0,13
0,0,0
3,0,3
10,1,9
0,1,-1
1,2,-1
1,1,0
2,12,-10
8,1,7
59,10,49
0,0,0
4,1,3
10,1,9
1,1,0
0,2,-2
0,0,0
0,0,0
2,0,2
1,0,1
5,20,-15
3,3,0
5,0,5
0,0,0
8,5,3
5,0,5
4,0,4
0,0,0
11,9,2
5,6,-1
7,0,7
0,3,-3
4,0,4
3,0,3
8,7,1
0,9,-9
2,0,2
15,1,14
12,5,7
1,6,-5
2,1,1
12,4,8
19,3,16
2,0,2
2,0,2
0,1,-1
1,0,1
1,0,1
2,0,2
4,2,2
9,0,9
2,10,-8
5,6,-1
3,0,3
3,3,0
0,0,0
15,0,15
2,0,2
1,0,1
0,0,0
5,5,0
5,0,5
2,2,0
41,6,35
3,0,3
23,19,4
2,2,0
9,3,6
0,0,0
31,1,30
2,1,1
3,3,0
9,0,9
2,2,0
1,1,0
115,115,0
0,1,-1
10,4,6
0,0,0
16,4,12
1,1,0
9,0,9
1,2,-1
32,6,26
0,0,0
9,1,8
8,1,7
2,0,2
9,1,8
0,0,0
2,1,1
2,26,-24
2,1,1
1,3,-2
2,4,-2
9,34,-25
4,0,4
14,1,13
3,1,2
4,1,3
7,2,5
11,0,11
6,2,4
9,1,8
16,0,16
6,29,-23
4,6,-2
3,0,3
5,17,-12
2,0,2
4,4,0
0,1,-1
0,0,0
1,0,1
1,0,1
6,0,6
3,0,3
4,3,1
21,8,13
4,1,3
5,0,5
5,3,2
0,0,0
17,0,17
4,2,2
0,0,0
0,3,-3
2,1,1
0,0,0
0,0,0
5,3,2
2,1,1
4,3,1
18,0,18
2,1,1
8,5,3
30,1,29
8,5,3
0,1,-1
0,0,0
22,4,18
15,7,8
0,0,0
2,1,1
3,2,1
12,0,12
16,0,16
7,4,3
12,5,7
9,3,6
2,5,-3
16,0,16
9,0,9
31,33,-2
3,1,2
5,4,1
3,5,-2
1,1,0
0,0,0
23,2,21
1,35,-34
2,0,2
1,0,1
1,3,-2
11,1,10
0,0,0
2,1,1
2,1,1
8,0,8
10,9,1
2,1,1
5,1,4
4,3,1
25,0,25
5,0,5
4,2,2
0,0,0
0,1,-1
3,1,2
22,9,13
17,26,-9
10,0,10
0,1,-1
0,2,-2
15,8,7
1,0,1
16,8,8
10,0,10
3,1,2
11,12,-1
3,0,3
12,2,10
2,0,2
0,0,0
0,0,0
2,0,2
0,0,0
0,0,0
44,44,0
0,0,0
0,0,0
7,6,1
0,0,0
66,0,66
0,0,0
17,1,16
6,1,5
0,0,0
7,0,7
3,3,0
27,6,21
36,61,-25
1,0,1
3,0,3
13,0,13
0,1,-1
9,2,7
20,31,-11
6,1,5
7,2,5
10,8,2
6,1,5
0,0,0
3,0,3
2,1,1
18,1,17
10,1,9
7,3,4
0,3,-3
7,4,3
3,0,3
17,6,11
0,3,-3
3,0,3
3,1,2
2,0,2
0,0,0
12,0,12
4,0,4
4,0,4
3,0,3
6,0,6
4,0,4
0,0,0
0,2,-2
5,8,-3
0,0,0
15,0,15
17,8,9
7,1,6
2,1,1
0,0,0
0,0,0
17,11,6
4,1,3
1,0,1
0,0,0
0,1,-1
0,11,-11
4,0,4
5,1,4
0,1,-1
0,5,-5
2,0,2
10,0,10
3,0,3
0,0,0
18,1,17
2,0,2
8,0,8
16,22,-6
9,6,3
4,4,0
9,1,8
6,1,5
0,0,0
23,1,22
15,13,2
11,5,6
7,0,7
12,1,11
2,0,2
20,0,20
20,1,19
2,0,2
6,5,1
9,0,9
4,5,-1
0,0,0
0,0,0
3,4,-1
1,0,1
0,0,0
0,0,0
20,5,15
0,0,0
1,1,0
22,5,17
50,8,42
3,0,3
2,24,-22
10,17,-7
29,0,29
0,2,-2
0,2,-2
3,0,3
13,0,13
17,7,10
2,1,1
1,0,1
1,1,0
6,14,-8
6,0,6
0,0,0
7,5,2
0,0,0
3,1,2
0,0,0
0,9,-9
8,2,6
7,23,-16
9,0,9
0,2,-2
11,3,8
0,0,0
7,10,-3
7,6,1
15,0,15
1,1,0
0,0,0
1,3,-2
26,1,25
0,0,0
12,0,12
0,0,0
2,1,1
1,0,1
0,1,-1
0,0,0
2,0,2
5,23,-18
4,0,4
1,7,-6
0,0,0
0,0,0
6,8,-2
19,0,19
1,0,1
1,0,1
66,0,66
23,0,23
2,0,2
1,0,1
0,0,0
5,0,5
3,0,3
6,0,6
0,0,0
1,0,1
3,2,1
2,5,-3
6,1,5
3,0,3
8,1,7
3,12,-9
2,0,2
6,2,4
1,0,1
15,5,10
13,2,11
6,6,0
4,1,3
18,0,18
5,5,0
9,2,7
2,1,1
2,0,2
1,0,1
0,0,0
0,8,-8
4,0,4
13,4,9
10,1,9
56,53,3
3,0,3
11,4,7
8,10,-2
0,0,0
48,48,0
1,2,-1
24,4,20
2,5,-3
1,0,1
3,0,3
1,11,-10
1,0,1
6,4,2
15,6,9
0,0,0
0,0,0
15,4,11
1,1,0
1,6,-5
26,1,25
0,0,0
36,14,22
0,0,0
19,5,14
8,29,-21
0,0,0
10,11,-1
7,13,-6
0,1,-1
4,0,4
3,1,2
0,0,0
16,12,4
2,0,2
5,0,5
4,0,4
1,0,1
0,0,0
0,2,-2
6,6,0
0,0,0
1,1,0
3,0,3
0,0,0
2,18,-16
0,0,0
18,4,14
1,4,-3
1,1,0
2,7,-5
1,0,1
0,0,0
1,0,1
3,3,0
6,1,5
0,55,-55
5,0,5
0,0,0
17,1,16
5,2,3
0,0,0
46,8,38
37,2,35
18,5,13
16,0,16
14,2,12
7,2,5
6,0,6
0,5,-5
0,0,0
1,0,1
1,0,1
4,1,3
0,0,0
1,0,1
3,3,0
16,0,16
13,0,13
0,0,0
8,13,-5
1,0,1
25,35,-10
0,0,0
6,1,5
1,0,1
0,0,0
2,0,2
0,0,0
4,0,4
8,5,3
3,4,-1
4,2,2
8,5,3
6,2,4
1,0,1
2,10,-8
11,2,9
5,5,0
1,0,1
10,3,7
0,0,0
3,1,2
0,5,-5
6,2,4
9,1,8
12,0,12
5,2,3
3,4,-1
8,0,8
6,1,5
1,6,-5
2,2,0
1,8,-7
0,1,-1
11,5,6
3,0,3
9,2,7
13,4,9
5,0,5
22,0,22
11,0,11
2,1,1
0,0,0
1,0,1
25,4,21
5,1,4
10,7,3
0,0,0
0,0,0
14,0,14
4,0,4
5,0,5
37,0,37
2,0,2
0,0,0
12,6,6
8,0,8
2,0,2
7,2,5
6,2,4
7,2,5
3,1,2
33,1,32
10,0,10
0,0,0
2,0,2
1,0,1
5,1,4
4,0,4
2,0,2
1,1,0
0,1,-1
14,0,14
2,0,2
19,2,17
4,3,1
30,10,20
4,1,3
0,0,0
4,2,2
6,0,6
0,0,0
56,43,13
12,0,12
32,3,29
10,0,10
0,0,0
3,1,2
0,1,-1
0,2,-2
2,5,-3
11,0,11
2,0,2
7,0,7
1,2,-1
0,1,-1
4,2,2
0,0,0
0,0,0
18,0,18
2,0,2
0,0,0
5,0,5
2,0,2
4,2,2
21,22,-1
8,0,8
14,1,13
14,2,12
16,5,11
10,1,9
0,1,-1
6,1,5
0,0,0
1,0,1
0,0,0
2,0,2
30,1,29
9,2,7
3,0,3
8,0,8
3,2,1
5,4,1
2,0,2
5,1,4
8,3,5
9,0,9
0,1,-1
5,1,4
0,1,-1
20,0,20
2,3,-1
42,0,42
5,0,5
2,2,0
9,0,9
0,0,0
34,1,33
1,1,0
11,0,11
222,78,144
1,0,1
0,0,0
0,3,-3
3,0,3
20,0,20
25,2,23
2,0,2
0,0,0
7,1,6
17,1,16
4,0,4
0,0,0
2,4,-2
1,0,1
0,0,0
0,1,-1
3,2,1
2,0,2
3,3,0
0,0,0
11,2,9
14,2,12
2,1,1
3,1,2
7,22,-15
31,0,31
3,0,3
1,8,-7
37,14,23
25,4,21
4,5,-1
5,1,4
1,0,1
3,1,2
1,4,-3
9,1,8
6,4,2
10,1,9
6,2,4
2,0,2
0,2,-2
9,2,7
5,1,4
2,0,2
8,2,6
7,0,7
0,0,0
15,4,11
6,1,5
11,0,11
4,0,4
15,15,0
21,0,21
2,0,2
1,0,1
5,0,5
16,1,15
0,1,-1
6,19,-13
0,1,-1
5,59,-54
10,1,9
0,1,-1
0,1,-1
7,0,7
9,1,8
10,3,7
13,0,13
1,4,-3
7,0,7
5,4,1
0,0,0
1,1,0
2,3,-1
25,0,25
6,8,-2
8,0,8
2,0,2
12,0,12
7,5,2
8,0,8
6,1,5
0,0,0
29,0,29
9,13,-4
2,0,2
0,0,0
2,0,2
5,1,4
1,2,-1
0,2,-2
11,8,3
7,2,5
10,3,7
4,0,4
15,1,14
3,0,3
12,0,12
0,0,0
8,4,4
4,1,3
22,1,21
1,0,1
0,0,0
9,6,3
1,2,-1
7,7,0
2,1,1
1,0,1
4,0,4
9,0,9
2,0,2
8,1,7
3,0,3
7,0,7
3,3,0
1,5,-4
1,1,0
15,5,10
16,0,16
1,0,1
5,2,3
14,0,14
16,1,15
2,2,0
5,0,5
12,1,11
5,11,-6
4,0,4
11,4,7
15,2,13
9,9,0
19,18,1
7,6,1
0,10,-10
25,0,25
11,4,7
4,1,3
1,0,1
2,0,2
7,0,7
20,0,20
1,5,-4
1,0,1
3,0,3
2,2,0
0,0,0
7,2,5
25,2,23
9,0,9
0,0,0
1,0,1
0,0,0
5,7,-2
6,0,6
0,0,0
12,3,9
11,0,11
8,0,8
13,4,9
2,0,2
18,2,16
1,0,1
4,1,3
23,0,23
2,0,2
5,37,-32
5,0,5
0,0,0
8,8,0
16,14,2
1,2,-1
1,0,1
1,0,1
11,3,8
3,0,3
21,0,21
1,0,1
11,0,11
9,1,8
3,3,0
11,1,10
3,0,3
6,10,-4
3,0,3
2,1,1
1,0,1
4,11,-7
2,0,2
5,0,5
8,1,7
2,2,0
0,0,0
0,0,0
9,11,-2
21,21,0
6,41,-35
2,3,-1
1,0,1
1,2,-1
2,0,2
12,14,-2
11,7,4
2,2,0
3,1,2
10,22,-12
17,1,16
5,3,2
0,1,-1
11,0,11
9,2,7
1,0,1
2,0,2
1,1,0
0,0,0
2,0,2
2,1,1
6,1,5
3,0,3
4,3,1
1,0,1
6,1,5
11,4,7
3,4,-1
9,0,9
46,0,46
5,0,5
2,0,2
8,0,8
6,3,3
5,6,-1
14,0,14
13,9,4
25,1,24
1,0,1
13,2,11
22,4,18
5,13,-8
8,52,-44
1,1,0
6,4,2
0,0,0
3,22,-19
6,1,5
16,1,15
2,0,2
15,0,15
2,3,-1
0,0,0
36,1,35
4,2,2
1,0,1
2,1,1
1,11,-10
18,19,-1
8,0,8
0,0,0
7,1,6
51,4,47
1,0,1
10,8,2
5,0,5
0,1,-1
16,0,16
0,3,-3
2,2,0
2,14,-12
1,0,1
6,5,1
2,1,1
20,0,20
3,4,-1
3,2,1
2,0,2
18,7,11
5,1,4
0,0,0
9,1,8
0,0,0
4,0,4
18,0,18
1,6,-5
8,1,7
11,1,10
12,4,8
5,0,5
5,0,5
2,0,2
1,0,1
13,2,11
4,0,4
1,0,1
6,1,5
25,1,24
2,1,1
7,0,7
3,0,3
50,68,-18
6,0,6
30,29,1
8,0,8
2,5,-3
1,1,0
1,1,0
0,0,0
26,20,6
0,0,0
0,0,0
19,0,19
0,0,0
31,1,30
59,1,58
4,6,-2
0,3,-3
9,2,7
1,0,1
0,0,0
0,0,0
0,0,0
2,10,-8
5,54,-49
3,3,0
6,5,1
3,0,3
2,0,2
13,1,12
1,0,1
0,0,0
4,0,4
18,0,18
0,0,0
10,2,8
1,1,0
3,5,-2
0,0,0
8,0,8
6,1,5
14,4,10
5,0,5
3,0,3
0,8,-8
0,1,-1
5,3,2
8,0,8
20,2,18
12,5,7
42,8,34
2,4,-2
24,0,24
8,8,0
0,0,0
14,0,14
0,0,0
2,0,2
12,17,-5
0,0,0
1,0,1
11,1,10
0,4,-4
3,0,3
0,0,0
23,19,4
1,0,1
1,2,-1
10,2,8
5,5,0
17,12,5
7,2,5
17,0,17
17,0,17
1,0,1
0,0,0
8,0,8
5,0,5
1,3,-2
18,1,17
0,0,0
2,0,2
9,1,8
13,4,9
5,3,2
5,3,2
2,0,2
2,2,0
2,1,1
0,0,0
7,2,5
10,0,10
6,1,5
9,14,-5
5,2,3
6,0,6
5,0,5
8,1,7
1,0,1
0,0,0
7,10,-3
9,3,6
12,2,10
1,0,1
3,0,3
5,0,5
0,0,0
3,1,2
3,1,2
81,18,63
6,1,5
17,25,-8
4,1,3
2,0,2
12,2,10
2,0,2
6,3,3
3,0,3
9,22,-13
22,0,22
7,0,7
32,0,32
1,0,1
14,0,14
13,4,9
0,0,0
2,1,1
1,0,1
14,0,14
3,1,2
0,0,0
1,2,-1
4,3,1
10,2,8
0,0,0
0,0,0
0,1,-1
1,0,1
1,4,-3
0,0,0
0,0,0
8,0,8
2,1,1
5,5,0
2,0,2
2,0,2
5,0,5
6,0,6
14,1,13
1,0,1
11,0,11
12,1,11
3,3,0
9,2,7
2,0,2
5,6,-1
0,0,0
2,0,2
0,0,0
6,3,3
29,1,28
12,13,-1
45,0,45
0,0,0
0,1,-1
5,0,5
4,0,4
0,0,0
45,45,0
1,0,1
0,0,0
2,0,2
1,0,1
21,0,21
16,1,15
0,0,0
21,44,-23
10,0,10
4,0,4
4,0,4
8,0,8
2,2,0
3,1,2
0,0,0
0,0,0
6,4,2
1,0,1
1,3,-2
0,1,-1
1,0,1
16,38,-22
16,0,16
9,5,4
49,0,49
2,0,2
2,0,2
2,0,2
12,1,11
6,3,3
5,7,-2
7,1,6
1,0,1
2,1,1
0,0,0
2,0,2
10,13,-3
2,0,2
6,0,6
6,4,2
7,3,4
3,1,2
5,5,0
1,0,1
1,0,1
5,3,2
1,0,1
9,10,-1
27,0,27
10,4,6
5,2,3
7,7,0
13,1,12
7,4,3
14,1,13
4,0,4
6,1,5
0,0,0
4,2,2
8,4,4
1,0,1
16,13,3
45,45,0
3,0,3
7,5,2
1,0,1
0,0,0
4,0,4
1,6,-5
8,2,6
1,3,-2
2,0,2
0,0,0
5,0,5
1,0,1
33,0,33
12,1,11
6,6,0
0,4,-4
9,1,8
0,1,-1
0,0,0
0,4,-4
20,1,19
2,4,-2
3,0,3
4,1,3
14,0,14
11,13,-2
11,8,3
1,0,1
6,5,1
4,7,-3
18,6,12
0,0,0
5,9,-4
23,12,11
9,2,7
11,25,-14
4,4,0
13,5,8
29,13,16
5,4,1
0,0,0
8,3,5
2,0,2
3,0,3
5,0,5
0,0,0
4,0,4
10,2,8
0,0,0
6,0,6
29,1,28
6,2,4
6,16,-10
24,0,24
9,6,3
5,4,1
3,0,3
28,0,28
10,0,10
1,0,1
13,1,12
10,0,10
2,0,2
28,1,27
2,1,1
0,0,0
18,0,18
1,15,-14
0,0,0
1,0,1
13,1,12
16,4,12
10,4,6
5,0,5
4,0,4
3,0,3
26,2,24
2,4,-2
0,5,-5
16,0,16
4,0,4
0,1,-1
0,2,-2
8,0,8
3,0,3
5,2,3
2,0,2
1,0,1
0,0,0
5,1,4
1,13,-12
1,0,1
3,2,1
1,0,1
0,0,0
0,0,0
3,0,3
2,0,2
8,19,-11
1,1,0
1,4,-3
6,3,3
21,2,19
5,0,5
1,1,0
3,3,0
2,0,2
3,0,3
16,5,11
0,7,-7
3,0,3
9,10,-1
29,0,29
2,15,-13
0,0,0
1,53,-52
5,10,-5
0,0,0
8,10,-2
2,13,-11
2,0,2
0,0,0
1,1,0
0,1,-1
5,21,-16
35,4,31
23,0,23
1,2,-1
0,0,0
13,1,12
0,0,0
12,5,7
11,1,10
20,1,19
13,0,13
7,7,0
23,13,10
11,0,11
0,1,-1
6,2,4
3,0,3
2,0,2
1,2,-1
9,0,9
10,5,5
9,0,9
2,0,2
2,2,0
10,0,10
3,2,1
0,0,0
29,0,29
2,2,0
4,4,0
14,1,13
11,18,-7
2,0,2
2,5,-3
7,0,7
7,1,6
9,1,8
0,0,0
3,7,-4
22,4,18
0,0,0
0,0,0
9,5,4
0,4,-4
13,0,13
17,0,17
8,1,7
3,10,-7
3,0,3
5,5,0
19,0,19
5,0,5
17,1,16
0,0,0
1,2,-1
10,1,9
2,0,2
12,2,10
8,5,3
34,4,30
5,1,4
33,0,33
0,1,-1
0,1,-1
3,9,-6
6,0,6
12,0,12
3,6,-3
2,0,2
0,0,0
33,3,30
2,2,0
0,0,0
2,0,2
0,0,0
52,23,29
1,3,-2
0,0,0
3,4,-1
3,1,2
5,1,4
18,49,-31
14,8,6
11,11,0
9,8,1
2,5,-3
5,0,5
6,0,6
3,0,3
2,0,2
4,1,3
20,20,0
0,0,0
0,1,-1
1,2,-1
6,6,0
2,2,0
0,0,0
16,1,15
6,6,0
109,1,108
15,1,14
0,2,-2
8,6,2
5,3,2
0,1,-1
32,1,31
14,9,5
3,0,3
0,0,0
0,5,-5
1,0,1
13,62,-49
1,1,0
46,0,46
21,59,-38
9,1,8
1,2,-1
9,0,9
2,0,2
32,2,30
3,3,0
12,1,11
6,0,6
48,12,36
8,0,8
4,0,4
2,19,-17
5,21,-16
6,5,1
1,0,1
46,46,0
0,1,-1
4,4,0
5,0,5
0,0,0
1,2,-1
2,2,0
1,0,1
3,2,1
2,0,2
9,1,8
5,5,0
77,1,76
3,0,3
0,0,0
3,17,-14
1,0,1
1,2,-1
1,0,1
5,5,0
11,8,3
5,4,1
2,0,2
1,1,0
1,9,-8
2,0,2
0,0,0
0,0,0
1,0,1
4,0,4
15,5,10
2,0,2
0,0,0
1,0,1
5,4,1
0,0,0
17,0,17
1,1,0
10,4,6
29,34,-5
0,0,0
6,33,-27
5,0,5
